OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_669	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Yonghaparkia	s__	0.67	3
OTU_1505	Unassigned	p__others	1	1	1	1	1	1	1
OTU_488	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_484	k__Bacteria	p__others	c__Chloroflexi	o__AKIW781	f__	g__	s__	1	3
OTU_485	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__A1-B1	g__	s__	0.67	3
OTU_486	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_480	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__Chitinophaga	s__	0.67	3
OTU_481	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Myxococcaceae	g__Corallococcus	s__exiguus	0.67	3
OTU_482	k__Bacteria	p__others	c__Chloroflexi	o__Chloroflexales	f__FFCH7168	g__	s__	1	1
OTU_719	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_248	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__	g__	s__	0.67	3
OTU_249	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_246	k__Bacteria	p__others	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera	s__	1	3
OTU_247	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__	0.67	3
OTU_244	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_245	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__	1	3
OTU_242	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	0.67	3
OTU_243	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_240	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	1	3
OTU_241	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__columnare	1	3
OTU_391	k__Bacteria	p__others	c__TK10	o__B07_WMSP1	f__	g__	s__	1	3
OTU_392	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	g__	s__	1	3
OTU_393	k__Bacteria	p__others	c__Chloroflexi	o__Herpetosiphonales	f__	g__	s__	1	1
OTU_394	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	1	3		
OTU_397	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	0.67	3
OTU_398	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__	1	3
OTU_399	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__	g__	s__	1	3
OTU_2855	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Saprospiraceae	g__	s__	1	3
OTU_1725	k__Bacteria	p__others	c__Phycisphaerae	o__mle1-8	f__	g__	s__	1	3
OTU_800	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_801	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__	1	3
OTU_802	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__	0.67	3
OTU_803	k__Bacteria	p__others	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__	1	3
OTU_807	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin515	g__	s__	1	3
OTU_934	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_935	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__	s__	0.67	3
OTU_936	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__	s__	1	3
OTU_931	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinosynnemataceae	g__Lentzea	0.67	3	
OTU_933	k__Bacteria	p__Bacteroidetes	c__At12OctB3	o__	f__	g__	s__	1	3
OTU_1718	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_2692	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	2
OTU_2514	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__	1	3
OTU_2040	k__Bacteria	p__others	c__ABS-6	o__	f__	g__	s__	1	3
OTU_672	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__	s__	1	3
OTU_3062	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_1456	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1248	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Rhodocytophaga	s__	1	3
OTU_1245	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_1246	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_1081	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__	1	3
OTU_1085	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus Protochlamydia	s__	0.67	3
OTU_3647	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_1516	k__Bacteria	p__others	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia	s__	0.67	3
OTU_1458	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1668	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_1399	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus	s__	0.67	3
OTU_3507	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_1860	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__	g__	s__	0.67	3
OTU_2441	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	1	3
OTU_658	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	0.67	3
OTU_129	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__	1	3
OTU_128	k__Bacteria	p__others	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__	0.67	3
OTU_127	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__	1	3
OTU_126	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	0.67	3
OTU_125	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__	0.67	3
OTU_656	k__Bacteria	p__others	c__TK10	o__AKYG885	f__Dolo_23	g__	s__	1	3
OTU_651	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__	g__	s__	1	3
OTU_122	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	0.67	3
OTU_653	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__	g__	s__	1	3
OTU_120	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	1	3
OTU_170	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	0.67	3
OTU_171	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	1	3
OTU_172	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	g__	s__	1	3
OTU_173	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Rhodocytophaga	s__	1	3
OTU_3068	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__	s__	1	3
OTU_87	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_157	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__	s__	1	3
OTU_86	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__N1423WL	f__	g__	s__	1	3
OTU_85	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_177	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_729	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_728	k__Bacteria	p__Acidobacteria	c__RB25	o__	f__	g__	s__	1	3
OTU_239	k__Bacteria	p__Verrucomicrobia	c__Pedosphaerae	o__Pedosphaerales	f__Ellin515	g__	s__	0.67	3
OTU_238	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Methylophilales	f__Methylophilaceae	1	3		
OTU_1403	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptosporangiaceae	g__Streptosporangium	s__	1	3
OTU_233	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__	s__	1	3
OTU_232	k__Bacteria	p__others	c__TK10	o__AKYG885	f__5B-12	g__	s__	1	3
OTU_231	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae	g__Rubrobacter	s__	1	3
OTU_230	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_237	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_236	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__	1	3
OTU_235	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Kaistobacter	s__	1	3
OTU_234	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_347	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__	0.67	3
OTU_346	Unassigned	p__others	1	1	1	1	1	1	1
OTU_345	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_344	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae	g__Conexibacter	s__	1	3
OTU_343	k__Bacteria	p__others	c__S085	o__	f__	g__	s__	1	3
OTU_342	k__Bacteria	p__others	c__TM7-3	o__	f__	g__	s__	0.67	3
OTU_341	k__Bacteria	p__Acidobacteria	c__iii1-8	o__SJA-36	f__	g__	s__	1	3
OTU_340	k__Bacteria	p__others	c__C0119	o__	f__	g__	s__	1	3
OTU_349	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_348	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_900	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	0.67	3
OTU_904	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Hymenobacter	s__	1	3
OTU_906	Unassigned	p__others	1	1	1	1	1	1	1
OTU_1662	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	1
OTU_943	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_1424	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_257	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae	g__	s__	0.67	3
OTU_256	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Haliangiaceae	g__	s__	1	3
OTU_707	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__	1	3
OTU_61	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__	1	3
OTU_1255	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_1254	k__Bacteria	p__others	c__TK17	o__	f__	g__	s__	1	1
OTU_1090	k__Bacteria	p__others	c__Ktedonobacteria	o__Thermogemmatisporales	f__Thermogemmatisporaceae	g__	s__	1	3
OTU_2762	k__Bacteria	p__Proteobacteria	c__TA18	o__CV90	f__	g__	s__	1	3
OTU_1385	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__	1	2
OTU_1386	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagales	f__Holophagaceae	g__	s__	1	3
OTU_1871	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
OTU_1870	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__	s__	1	3
OTU_3515	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_145	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__	s__	1	3
OTU_3019	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	1	3
OTU_3016	k__Bacteria	p__others	c__SJA-4	o__	f__	g__	s__	1	2
OTU_3012	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	0.67	3
OTU_1525	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Spirobacillales	f__	g__	s__	1	3
OTU_138	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	0.67	3		
OTU_139	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__	s__	0.67	3
OTU_642	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	1	3
OTU_136	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	g__	s__	1	3
OTU_137	k__Bacteria	p__Acidobacteria	c__iii1-8	o__DS-18	f__	g__	s__	1	3
OTU_646	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__	g__	s__	0.67	3
OTU_647	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_644	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__	1	3
OTU_147	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__	1	3
OTU_404	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__	1	3
OTU_405	k__Bacteria	p__others	c__SC3	o__	f__	g__	s__	1	3
OTU_406	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__	f__	g__	s__	1	3
OTU_407	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__	1	3
OTU_400	k__Bacteria	p__Actinobacteria	c__MB-A2-108	o__0319-7L14	f__	g__	s__	1	3
OTU_2122	k__Bacteria	p__others	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__	0.67	3
OTU_2123	k__Bacteria	p__others	c__SBRH58	o__	f__	g__	s__	1	1
OTU_401	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
