OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species	value1	value2
OTU_168	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__	0.67	3
OTU_98	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Kaistobacter	s__	1	3
OTU_99	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	g__	s__	1	3
OTU_187	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__	1	3
OTU_186	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	1	3
OTU_2802	k__Bacteria	p__others	c__Anaerolineae	o__SJA-15	f__	g__	s__	1	3
OTU_189	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__	1	3
OTU_309	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__	s__	1	3
OTU_308	k__Bacteria	p__others	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__	1	3
OTU_188	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__	g__	s__	0.67	3
OTU_303	k__Bacteria	p__others	c__	o__	f__	g__	s__	1	3
OTU_302	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__	1	3
OTU_301	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__	1	3
OTU_300	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_307	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__MIZ46	f__	g__	s__	1	3
OTU_305	k__Bacteria	p__others	c__Chloroflexi	o__Roseiflexales	f__Kouleothrixaceae	g__	s__	0.67	3
OTU_304	k__Bacteria	p__Bacteroidetes	c__Saprospirae	o__Saprospirales	f__Chitinophagaceae	g__	s__	1	3
