OTU_984	OTU_1217	OTU_1795	OTU_337	OTU_1	OTU_8
tub3.Root.3S.ITS1o.Y1	0	0	0.0117056856187291	0	0.446488294314381	0
tub2.Root.3S.ITS1o.Y1	0.00250888563662973	0.00177712732594606	0.011812669872465	0.00167259042441982	0.121158268868911	0.0032406439473134
tub3.RP.N1.ITS1o.Y1	0.00122925629993854	0.00122925629993854	0.000614628149969269	0	0.0362630608481868	0.452366318377382
tub2.RP.3P.ITS1o.Y1	0	0	0	0	0.0769230769230769	0
tub2.Root.2S.ITS1o.Y1	0	0	0.00236220472440945	0	0.0137795275590551	0
tub3.RS.2P.ITS1o.Y1	0.0018881626724764	0.00261437908496732	0.00697167755991285	0.000580973129992738	0.138997821350763	0.00305010893246187
tub2.RP.N2.ITS1o.Y1	0	0	0.00235017626321974	0	0.474735605170388	0.0223266745005875
tub3.RS.2S.ITS1o.Y1	0.00164024056861673	0.00328048113723346	0.0311645708037179	0.00218698742482231	0.247676325861126	0.00492072170585019
tub3.RP.4P.ITS1o.Y1	0	0	0	0	0.0745884773662551	0.00102880658436214
tub2.RP.3S.ITS1o.Y1	0.00195058517555267	0.00325097529258778	0.00195058517555267	0	0.147594278283485	0.0533159947984395
tub3.Root.N3.ITS1o.Y1	0.00256739409499358	0.00385109114249037	0.0123234916559692	0.00102695763799743	0.173555840821566	0.00231065468549422
tub3.Root.2S.ITS1o.Y1	0	0	0.00440528634361234	0	0.36784140969163	0.00220264317180617
tub3.RS.N1.ITS1o.Y1	0.00146252285191956	0.0036563071297989	0.00950639853747715	0.000914076782449726	0.140219378427788	0.00530164533820841
tub3.RS.4S.ITS1o.Y1	0	0	0.000249438762783737	0	0.0578697929658269	0
tub2.Root.N2.ITS1o.Y1	0.00189326706898592	0.00248491302804402	0.0110046148384807	0.000946633534492959	0.143296651283872	0.0041415217134067
tub3.Root.N1.ITS1o.Y1	0.00182926829268293	0.00264227642276423	0.00833333333333333	0.0024390243902439	0.145528455284553	0.0032520325203252
tub2.RS.N2.ITS1o.Y1	0.00813008130081301	0.002710027100271	0.010840108401084	0.00542005420054201	0.265582655826558	0.00542005420054201
tub3.RS.3S.ITS1o.Y1	0	0	0	0	0.0373626373626374	0.00989010989010989
tub3.Root.1S.ITS1o.Y1	0.0025062656641604	0	0.0050125313283208	0	0.463659147869674	0
tub3.RP.3S.ITS1o.Y1	0	0.00327868852459016	0.00327868852459016	0	0.413114754098361	0
tub3.RP.1P.ITS1o.Y1	0	0	0	0	0.0776203966005666	0.0203966005665722
tub2.RP.4S.ITS1o.Y1	0.00381679389312977	0.00381679389312977	0.00763358778625954	0	0.125954198473282	0.00763358778625954
tub2.RP.2S.ITS1o.Y1	0	0	0.00684931506849315	0	0.181506849315068	0
tub3.RP.1S.ITS1o.Y1	0	0	0	0	0.363636363636364	0
tub3.RP.3P.ITS1o.Y1	0	0	0.0103448275862069	0	0.355172413793103	0.0103448275862069
